,STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
615,Uttar pradesh,SANT KABIRNAGAR,2001,2,5,0,0,0,0,0,44,0,0,7,0,51
616,Uttar pradesh,SHAHJAHANPUR,2001,11,16,9,0,0,3,26,36,0,81,62,3,182
617,Uttar pradesh,SHRAWASTI,2001,2,2,1,0,0,0,3,57,0,0,8,0,65
618,Uttar pradesh,SIDHARTHNAGAR,2001,1,3,3,0,0,1,6,72,0,0,13,1,86
619,Uttar pradesh,SITAPUR,2001,15,28,6,0,7,10,10,54,0,265,59,17,395
620,Uttar pradesh,SONBHADRA,2001,2,2,0,0,0,0,3,16,0,0,7,0,23
621,Uttar pradesh,ST.RAVIDASNAGAR,2001,1,0,0,0,0,2,7,39,0,22,8,2,71
622,Uttar pradesh,SULTANPUR,2001,2,3,0,0,1,3,4,114,0,38,9,4,165
623,Uttar pradesh,UNNAO,2001,14,18,12,0,7,2,34,188,0,112,78,9,387
624,Uttar pradesh,VARANASI,2001,2,1,0,0,0,2,2,66,0,9,5,2,82
625,Uttarakhand,ALMORA,2001,0,0,0,0,0,0,0,7,0,3,0,0,10
626,Uttarakhand,BAGESHWAR,2001,0,0,0,0,0,0,0,7,0,3,0,0,10
627,Uttarakhand,CHAMOLI,2001,0,0,0,0,0,0,1,7,0,3,1,0,11
628,Uttarakhand,CHAMPAWAT,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
629,Uttarakhand,DEHRADUN,2001,0,0,0,0,0,0,0,6,0,2,0,0,8
630,Uttarakhand,HARIDWAR,2001,7,1,3,0,0,1,3,3,0,3,14,1,21
631,Uttarakhand,NAINITAL,2001,0,0,0,0,0,0,0,12,0,7,0,0,19
632,Uttarakhand,PAURI GARHWAL,2001,1,0,0,0,0,0,3,4,0,2,4,0,10
633,Uttarakhand,PITHORAGARH,2001,1,0,0,0,0,0,0,1,0,0,1,0,2
634,Uttarakhand,RUDRA PRAYAG,2001,0,0,0,0,0,0,0,3,0,1,0,0,4
635,Uttarakhand,TEHRI GARHWAL,2001,0,0,0,0,0,0,13,13,0,8,13,0,34
636,Uttarakhand,UDHAMSINGH NAGAR,2001,1,1,0,0,0,0,3,11,0,7,5,0,23
637,Uttarakhand,UTTARKASHI,2001,0,0,0,0,0,0,0,10,0,6,0,0,16
638,West bengal,24 PARGANAS NORTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
639,West bengal,24 PARGANAS SOUTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
640,West bengal,ASANSOL,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
641,West bengal,BANKURA,2001,0,1,0,0,0,0,0,2,0,1,1,0,4
642,West bengal,BIRBHUM,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
643,West bengal,BURDWAN,2001,0,1,0,0,0,0,1,2,0,0,2,0,4
644,West bengal,COOCHBEHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
645,West bengal,DAKSHIN DINAJPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
646,West bengal,DARJEELING,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
647,West bengal,HOOGHLY,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
648,West bengal,HOWRAH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
